headline,label
nokia will provide indosat turnkey services including civil works network planning implementation and integration of a wcdma 3g hspa network,neutral
diluted earnings per share eps declined to eur 0 78 from eur 1 76,negative
altogether finnair has canceled over 500 flights because of the strike,negative
basware s product sales grew strongly in the financial period by 24 percent,positive
adp news nov 13 2008 finnish printed circuit board pcb maker aspocomp group oyj omx : acg1v said today that its net loss narrowed to eur 2 million usd 2 5 m in the first nine months of 2008 from eur 57,positive
citigroup inc nyse : c deutsche bank nyse : db and pohjola bank are lead managers for the sale,neutral
comparable operating profit for the quarter decreased from eur510m while sales increased from eur860m as compared to the third quarter 2007,negative
we have tailored our solutions to meet solel s technical requirements and the result is both cost effective manufacturing and highest quality reflectors,positive
for q2 2010 consolidated earnings before tax totaled eur4 5 m compared to eur3 9 m and net profit was eur3 2 m compared to eur2 9 m in the previous year,positive
upm s deliveries increased during the third quarter by 4 percent and the efficiency of operations improved chief executive jussi pesonen said,positive
tn means that the handset supports teliasonera s telia navigator global positioning system service,neutral
last year sysopen digia invested in ibm product know how in the building of portal and trading place systems and successfully implemented customer solutions supported by it,positive
the european central bank ecb is anticipated to raise its benchmark interest rate in the second half of 2011 at the earliest,neutral
the administrators have indicated a need for 900 job cuts at the irish insurer over the next 15 months,negative
the corresponding share capital increase eur 1 012 945 50 was entered in the trade register today,neutral
according to an posted by the world intellectual property organization : the present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels,neutral
feed companies suomen rehu and raisio do no import gmo feed,neutral
the annual general meeting approved a dividend of eur 0 10 per share that is a total of eur 7 8 million,neutral
operating loss totaled eur 0 8 mn compared to a profit of eur 0 5 mn,negative
the diameter protocol is developed according to the standards ietf rfc 3588 and ietf rfc 3539,neutral
basware business transactions service enables the customer to receive and send invoices in an electronic format,neutral
a & euro ; 4 8 million investment in 13 6 of lewa netted deutsche beteiligungs & euro ; 21 million,positive
profit for the period increased from eur 2 9 mn to eur 10 5 mn,positive
the agreement with jm is one in a series of contracts that teliasonera has signed in recent months with residential construction and real estate management companies in sweden,neutral
operating loss was eur 179mn compared to a loss of eur 188mn in the second quarter of 2009,positive
according to a rehu s managing director jouko lahtinen the project will stabilise costs and improve supply security,positive
the sale of the oxygen measurement business strengthens our goal to focus on our chosen market segments,neutral
the business goals for 2009 will realize with the temporary lay offs carried out in the summer of 2009 and with other savings measures,neutral
following the transaction lundbeck has worldwide rights for nalmefene excluding north america mexico turkey and south korea,positive
the share issue derogating from the pre emptive right of the shareholders and comprising some six million new shares at market price will be offered for subscription by shareholders holders of capital notes and by professional clients,neutral
the seminar introduced modern clean technologies and products financial tools and sponsorship programs for energy and environment projects as well as the potential to develop clean energy in vietnam,positive
cencorp s net sales in the first quarter is estimated to be eur0 9 1 2 m as compared to eur4 5 m in the first quarter 2008,negative
the company had net sales of eur 19 8 mn and a pre tax profit of eur 1 8 mn in 2005,neutral
pa jpmorgan chase and co nyse : jpm and pohjoa bank are joint lead managers on the senior unsecured deal,neutral
these companies own a 20 000 sq m office and commercial building and substantial amount of building right for a new shopping center in liljeholmen stockholm,neutral
however the proportion of the paid standing orders grew in 2009,positive
