sentiment,entity,directional_word
positive,earnings,acceler
positive,earnings,advanc
positive,earnings,award
positive,earnings,better
positive,earnings,climb
positive,earnings,doubl
positive,earnings,faster
positive,earnings,gain
positive,earnings,grow
positive,earnings,higher
positive,earnings,increas
positive,earnings,jump
positive,earnings,quicken
positive,earnings,rebound
positive,earnings,recov
positive,earnings,rise
positive,earnings,rose
positive,earnings,step-up
positive,earnings,surg
positive,earnings,up
positive,quarter,acceler
positive,quarter,advanc
positive,quarter,award
positive,quarter,better
positive,quarter,climb
positive,quarter,doubl
positive,quarter,faster
positive,quarter,gain
positive,quarter,grow
positive,quarter,higher
positive,quarter,increas
positive,quarter,jump
positive,quarter,quicken
positive,quarter,rebound
positive,quarter,recov
positive,quarter,rise
positive,quarter,rose
positive,quarter,step-up
positive,quarter,surg
positive,quarter,up
positive,profit,acceler
positive,profit,advanc
positive,profit,award
positive,profit,better
positive,profit,climb
positive,profit,doubl
positive,profit,faster
positive,profit,gain
positive,profit,grow
positive,profit,higher
positive,profit,increas
positive,profit,jump
positive,profit,quicken
positive,profit,rebound
positive,profit,recov
positive,profit,rise
positive,profit,rose
positive,profit,step-up
positive,profit,surg
positive,profit,up
positive,share,acceler
positive,share,advanc
positive,share,award
positive,share,better
positive,share,climb
positive,share,doubl
positive,share,faster
positive,share,gain
positive,share,grow
positive,share,higher
positive,share,increas
positive,share,jump
positive,share,quicken
positive,share,rebound
positive,share,recov
positive,share,rise
positive,share,rose
positive,share,step-up
positive,share,surg
positive,share,up
positive,sale,acceler
positive,sale,advanc
positive,sale,award
positive,sale,better
positive,sale,climb
positive,sale,doubl
positive,sale,faster
positive,sale,gain
positive,sale,grow
positive,sale,higher
positive,sale,increas
positive,sale,jump
positive,sale,quicken
positive,sale,rebound
positive,sale,recov
positive,sale,rise
positive,sale,rose
positive,sale,step-up
positive,sale,surg
positive,sale,up
positive,business,acceler
positive,business,advanc
positive,business,award
positive,business,better
positive,business,climb
positive,business,doubl
positive,business,faster
positive,business,gain
positive,business,grow
positive,business,higher
positive,business,increas
positive,business,jump
positive,business,quicken
positive,business,rebound
positive,business,recov
positive,business,rise
positive,business,rose
positive,business,step-up
positive,business,surg
positive,business,up
positive,period,acceler
positive,period,advanc
positive,period,award
positive,period,better
positive,period,climb
positive,period,doubl
positive,period,faster
positive,period,gain
positive,period,grow
positive,period,higher
positive,period,increas
positive,period,jump
positive,period,quicken
positive,period,rebound
positive,period,recov
positive,period,rise
positive,period,rose
positive,period,step-up
positive,period,surg
positive,period,up
positive,capital,acceler
positive,capital,advanc
positive,capital,award
positive,capital,better
positive,capital,climb
positive,capital,doubl
positive,capital,faster
positive,capital,gain
positive,capital,grow
positive,capital,higher
positive,capital,increas
positive,capital,jump
positive,capital,quicken
positive,capital,rebound
positive,capital,recov
positive,capital,rise
positive,capital,rose
positive,capital,step-up
positive,capital,surg
positive,capital,up
positive,contract,acceler
positive,contract,advanc
positive,contract,award
positive,contract,better
positive,contract,climb
positive,contract,doubl
positive,contract,faster
positive,contract,gain
positive,contract,grow
positive,contract,higher
positive,contract,increas
positive,contract,jump
positive,contract,quicken
positive,contract,rebound
positive,contract,recov
positive,contract,rise
positive,contract,rose
positive,contract,step-up
positive,contract,surg
positive,contract,up
positive,eps,acceler
positive,eps,advanc
positive,eps,award
positive,eps,better
positive,eps,climb
positive,eps,doubl
positive,eps,faster
positive,eps,gain
positive,eps,grow
positive,eps,higher
positive,eps,increas
positive,eps,jump
positive,eps,quicken
positive,eps,rebound
positive,eps,recov
positive,eps,rise
positive,eps,rose
positive,eps,step-up
positive,eps,surg
positive,eps,up
positive,news,acceler
positive,news,advanc
positive,news,award
positive,news,better
positive,news,climb
positive,news,doubl
positive,news,faster
positive,news,gain
positive,news,grow
positive,news,higher
positive,news,increas
positive,news,jump
positive,news,quicken
positive,news,rebound
positive,news,recov
positive,news,rise
positive,news,rose
positive,news,step-up
positive,news,surg
positive,news,up
positive,phone,acceler
positive,phone,advanc
positive,phone,award
positive,phone,better
positive,phone,climb
positive,phone,doubl
positive,phone,faster
positive,phone,gain
positive,phone,grow
positive,phone,higher
positive,phone,increas
positive,phone,jump
positive,phone,quicken
positive,phone,rebound
positive,phone,recov
positive,phone,rise
positive,phone,rose
positive,phone,step-up
positive,phone,surg
positive,phone,up
positive,technology,acceler
positive,technology,advanc
positive,technology,award
positive,technology,better
positive,technology,climb
positive,technology,doubl
positive,technology,faster
positive,technology,gain
positive,technology,grow
positive,technology,higher
positive,technology,increas
positive,technology,jump
positive,technology,quicken
positive,technology,rebound
positive,technology,recov
positive,technology,rise
positive,technology,rose
positive,technology,step-up
positive,technology,surg
positive,technology,up
positive,+àland,acceler
positive,+àland,advanc
positive,+àland,award
positive,+àland,better
positive,+àland,climb
positive,+àland,doubl
positive,+àland,faster
positive,+àland,gain
positive,+àland,grow
positive,+àland,higher
positive,+àland,increas
positive,+àland,jump
positive,+àland,quicken
positive,+àland,rebound
positive,+àland,recov
positive,+àland,rise
positive,+àland,rose
positive,+àland,step-up
positive,+àland,surg
positive,+àland,up
positive,pct,acceler
positive,pct,advanc
positive,pct,award
positive,pct,better
positive,pct,climb
positive,pct,doubl
positive,pct,faster
positive,pct,gain
positive,pct,grow
positive,pct,higher
positive,pct,increas
positive,pct,jump
positive,pct,quicken
positive,pct,rebound
positive,pct,recov
positive,pct,rise
positive,pct,rose
positive,pct,step-up
positive,pct,surg
positive,pct,up
positive,june,acceler
positive,june,advanc
positive,june,award
positive,june,better
positive,june,climb
positive,june,doubl
positive,june,faster
positive,june,gain
positive,june,grow
positive,june,higher
positive,june,increas
positive,june,jump
positive,june,quicken
positive,june,rebound
positive,june,recov
positive,june,rise
positive,june,rose
positive,june,step-up
positive,june,surg
positive,june,up
positive,tonne,acceler
positive,tonne,advanc
positive,tonne,award
positive,tonne,better
positive,tonne,climb
positive,tonne,doubl
positive,tonne,faster
positive,tonne,gain
positive,tonne,grow
positive,tonne,higher
positive,tonne,increas
positive,tonne,jump
positive,tonne,quicken
positive,tonne,rebound
positive,tonne,recov
positive,tonne,rise
positive,tonne,rose
positive,tonne,step-up
positive,tonne,surg
positive,tonne,up
positive,electronics,acceler
positive,electronics,advanc
positive,electronics,award
