headline,label
these share transactions are part of the company s strategy of relinquishing assets that are not part of its core business,neutral
grapevine city officials in september approved $ 35 million in tax rebates and grants for the expansion,positive
finnish suominen corporation that makes wipes nonwovens and flexible packaging expects changes in the market situation to reduce sales of suominen s nonwovens and wet wipes from the previously estimated volumes,negative
the new office located in shenzhen will strengthen vaisala s already 10 year old presence in china,positive
according to seikku the retail sector in finland is controlled by 3 4 large actors while food manufacturers are still relatively small,neutral
the contract is worth some eur 1 million,neutral
28 october 2010 finnish wood products technology supplier raute oyj hel : rutav said today it swung to a net profit of eur3m for the first nine months of 2010 versus a net loss of eur5 2 m for the same period a year earlier,positive
san francisco marketwatch nokia corp the world s largest cell phone maker is using the consumer electronics show in las vegas to introduce a high end thin folding phone according to a media report monday,neutral
scopi chief business excellence officer eng,neutral
finnish technology company raute corporation omx helsinki : rutav issued on tuesday 23 september a profit warning for the financial year 2008,negative
london afx shares in rautaruukki corp have been upgraded to hold from sell by abn amro with the price target raised to 25 75 eur from 14 5 said dealers,positive
stockmann and swedish sector company ab lindex entered into an agreement on september 30 2007 whereby stockmann or a wholly owned subsidiary of it will make a public tender offer for all of lindex s issued shares,positive
the german company has also signed a code share agreement with another oneworld member american airlines inc part of us based amr corp nyse : amr,positive
the department store division reported an increase in sales of 4 per cent,positive
operating profit rose to eur 26 7 mn from eur 14 9 mn in the corresponding period in 2006,positive
no price was given for the transaction which merges two london companies that have worked together on a number of projects including delivery of timetables for britain s national express east coast rail networks,neutral
this includes a eur 39 5 mn change in the fair value of investment properties,neutral
the remainder of its revenues will come from technology agreements with other firms interdigital said,neutral
technical indicators for the stock are bullish and s&p gives nok a positive 4 stars out of 5 buy ranking,positive
finnair s passenger load factor which measures the number of sold seats as a share of all available seats dropped by 1 3 percentage points to 76 7 in september,negative
okmetic board of directors has also decided on a new share ownership program directed to the company s top management,neutral
the inaugural speech will be given by hannu kyrolainen finland s ambassador to the czech republic,neutral
the firm s uk head office is in rugby road lutterworth,neutral
estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011,neutral
the transaction doubles tecnomens workforse and adds a fourth to their net sales,positive
we are pleased to invite you to join m real s international conference call at 3:00 p m eet,neutral
the total floor area of the plant expansion is 29 000 square metres,neutral
most of the increase in net sales was due to the acquisition of swedish silva that produces garden tools and boats,positive
in q1 of 2009 bank of +àland s net interest income weakened by 10 to eur 9 1 mn,negative
german commerzbank ag s hamburg branch and us jp morgan nyse : jpm participated as arrangers and dutch ing ams : inga as co arranger,neutral
