headline,label,lm_positive_words,lm_negative_words,detected_entities,detected_directional_words,senti_dd_pos_pairs,senti_dd_neg_pairs,senti_dd_score,senti_dd_prediction,correct
finnish developer and manufacturer of mobile phone chargers salcomp plc omx helsinki : sal1v on wednesday 19 november lowered its full year net sales estimate,negative,[],[],"['net', 'sale', 'manufacturer', 'year']",[],[],[],0,neutral,False
the transaction is expected to be finalized by dec 2009,neutral,[],[],[],[],[],[],0,neutral,True
okmetic board of directors has also decided on a new share ownership program directed to the company s top management,neutral,[],[],"['company', 'share']",[],[],[],0,neutral,True
indigo and somoncom serve 377 000 subscribers and had a market share of approximately 27 as of may 2007,neutral,[],[],['share'],[],[],[],0,neutral,True
to see a slide show of all the newest product releases from fiskars,neutral,[],[],['product'],[],[],[],0,neutral,True
veidekke headquartered in oslo norway is a scandinavian construction and property development group with some 6 350 employees in norway sweden and denmark with an annual turnover of nok16 4 bn,neutral,[],[],"['turnover', 'group', 'construction']",[],[],[],0,neutral,True
operating profit margin was 8 3 compared to 11 8 a year earlier,negative,[],[],"['margin', 'profit', 'year']",[],[],[],0,neutral,False
net sales surged by 30 to eur 36 million,positive,[],[],"['eur', 'net', 'sale']",['surg'],"['net_surg', 'sale_surg', 'eur_surg']",[],3,positive,True
the contract value amounts to eur 2 4 million,neutral,[],[],"['eur', 'contract', 'value']",[],[],[],0,neutral,True
insurer axa par : cs slid by 5 35 to eur 14 15 after citigroup and ing slashed their targets on the stock,negative,[],[],['eur'],[],[],[],0,neutral,False
new chairman of the board of directors mr chaim katzman will give a presentation and answer questions,neutral,[],['questions'],[],[],[],[],-1,negative,False
finnish construction group lemminkainen oyj hel : lem1s said today it has won a contract to provide technical services for the nevsky centre shopping mall to be opened in november in st petersburg russia,positive,[],[],"['contract', 'group', 'construction', 'oyj']",[],[],[],0,neutral,False
in january traffic measured in revenue passenger kilometres rpk went up by 3 2 and capacity measured in available seat kilometres ask rose by 12 2,positive,[],[],"['passenger', 'revenue', 'traffic']","['rose', 'up']","['passenger_rose', 'revenue_rose', 'revenue_up', 'passenger_up']","['traffic_up', 'traffic_rose']",2,positive,True
operating profit excluding restructuring costs grew to eur 44 5 million from eur 31 7 million while operating profit including restructuring costs showed even larger growth to eur 38 5 million from eur 7 4 million,positive,[],['restructuring'],"['growth', 'profit', 'cost', 'eur']",[],[],[],-1,negative,False
operating profit fell to eur 15 1 mn from eur 24 6 mn in 2006,negative,[],[],"['eur', 'profit', 'mn']",['fell'],[],"['profit_fell', 'mn_fell', 'eur_fell']",-3,negative,True
operating loss of the pulp & paper machinery unit was over eur 3mn in september 2007 august 2008 compared to a profit of eur 3 7 mn a year earlier,negative,[],['loss'],"['eur', 'september', 'profit', 'paper', 'year', 'mn']",[],[],[],-1,negative,True
the agreement includes application maintenance and support services,neutral,[],[],[],[],[],[],0,neutral,True
those uncertainties cloud the long term outlook,negative,[],[],[],[],[],[],0,neutral,False
officials did not disclose the contract value,neutral,[],['disclose'],"['contract', 'value']",[],[],[],-1,negative,False
during the strike finnair estimates to incur a net loss of between eur2m and eur2 5 m per day,negative,[],['loss'],"['net', 'day']",[],[],[],-1,negative,True
the business area s net sales were slightly over 2m in 2006,neutral,[],[],"['net', 'sale', 'area', 'business']",[],[],[],0,neutral,True
the commission said the hydrogen peroxide and pbs market was worth about 470 million euros in 2000,neutral,[],[],[],[],[],[],0,neutral,True
that would be an increase from estimated sales of 117 million last year,positive,[],[],"['sale', 'year']",['increas'],"['sale_increas', 'year_increas']",[],2,positive,True
the contract includes software licences application maintenance and training,neutral,[],[],['contract'],[],[],[],0,neutral,True
order intake grew by 40 year on year and 30 year on year respectively to eur 576 million and eur 1 7 billion for the respective january september and july september 2010 periods,positive,[],[],"['eur', 'period', 'order', 'september', 'year']",[],[],[],0,neutral,False
alexandria va march 15 jaakko vilo of turku finland has developed a panel press,neutral,[],[],[],[],[],[],0,neutral,True
m real s sales are expected to have increased by 4 year on year to eur609m in the second quarter of 2010,positive,[],[],"['quarter', 'sale', 'year']",['increas'],"['sale_increas', 'quarter_increas', 'year_increas']",[],3,positive,True
operating profit fell to eur 6 2 mn from eur 8 5 mn in the third quarter of 2007,negative,[],[],"['eur', 'quarter', 'profit', 'mn']",['fell'],[],"['quarter_fell', 'profit_fell', 'mn_fell', 'eur_fell']",-4,negative,True
commission income rose by 25 7 to eur 16 1 mn from eur 12 8 mn in 2004,positive,[],[],"['eur', 'income', 'mn']",['rose'],"['eur_rose', 'mn_rose', 'income_rose']",[],3,positive,True
return on equity stood at 18 3 compared to 15 4 in the third quarter of 2005,positive,[],[],['quarter'],[],[],[],0,neutral,False
the soapstone deposits in the medvezhyegorsk area are expected to increase tulikivi s current reserves considerably,positive,[],[],['area'],['increas'],['area_increas'],[],1,positive,True
nokia siemens networks provides mobile and fixed network infrastructure communications and networks service platforms as well as professional services to operators and service providers,neutral,[],[],['communication'],[],[],[],0,neutral,True
quarterly diluted eps on continuing operations came in at 0 21 eur compared with last year s 0 12 eur,positive,[],[],"['eur', 'year']",[],[],[],0,neutral,False
finnish steel maker rautaruukki oyj hel : rtrks or ruukki said today its net loss contracted to eur 49 million usd 68 2 m for the first nine months of 2010 from eur 229 million for the same period a year ago,positive,[],['loss'],"['eur', 'month', 'period', 'net', 'oyj', 'maker', 'year']",[],[],[],-1,negative,False
the report examines the medical equipment business structure and operations history and products and provides an analysis of its key medical equipment revenue lines,neutral,[],[],"['product', 'revenue', 'report', 'business']",[],[],[],0,neutral,True
its market share is 6 percent according to ac nielsen s 2008 data,neutral,[],[],"['percent', 'share']",[],[],[],0,neutral,True
sampo housing loan bank a unit of finland s sampo bank has priced its eur1bn usd1 3 bn bond at 99 889 reuters reported,neutral,[],[],[],[],[],[],0,neutral,True
the deal was worth about eur 1 2 mn,neutral,[],[],"['eur', 'mn']",[],[],[],0,neutral,True
digia will also set up two subsidiaries digia norway as and digia usa inc,neutral,[],[],[],['up'],[],[],0,neutral,True
an of the invention released by the patent office said : the chambers are pressurized,neutral,['invention'],[],[],[],[],[],1,positive,False
device volume in the area decreased by 21 to 2 7 mn units,negative,[],[],"['area', 'volume', 'mn']",['decreas'],[],"['area_decreas', 'volume_decreas', 'mn_decreas']",-3,negative,True
kemira s partner in the project is st petersburg water works,neutral,[],[],[],[],[],[],0,neutral,True
the total investment in 2006 and 2007 is expected to amount to about eur75m,neutral,[],[],['investment'],[],[],[],0,neutral,True
profit before taxes amounted to eur 56 5 mn down from eur 232 9 mn a year ago,negative,[],[],"['eur', 'profit', 'year', 'mn']",['down'],[],"['year_down', 'mn_down', 'profit_down', 'eur_down']",-4,negative,True
operating profit totalled eur 21 1 mn up from eur 18 6 mn in 2007 representing 9 7 of net sales,positive,[],[],"['eur', 'sale', 'net', 'profit', 'mn']",['up'],"['sale_up', 'profit_up', 'net_up', 'eur_up', 'mn_up']",[],5,positive,True
sports equipment sales also progressed well owing to the prolonged winter season,positive,['progressed'],['prolonged'],['sale'],[],[],[],0,neutral,False
the new kroksberg railway tunnel will be built on a new section of track between harnosand and veda forming part of the line that follows the coast of the gulf of bothnia,neutral,[],[],[],[],[],[],0,neutral,True
20 october 2010 finnish metal products company componenta oyj hel : cth1v said yesterday that its net loss narrowed to eur7m for the first nine months of 2010 from eur23 3 m for the same period of 2009,positive,[],['loss'],"['metal', 'product', 'month', 'period', 'net', 'oyj', 'company']",[],[],[],-1,negative,False
s group s loyal customer magazine yhteishyv+ñ came second with 1 629 000 readers and sanoma corporation s daily newspaper helsingin sanomat was third with 1 097 000 readers,neutral,['loyal'],[],['group'],[],[],[],1,positive,False
the pretax profit of the group s life insurance business increased to eur36m from eur27m,positive,[],[],"['profit', 'group', 'business']",['increas'],"['business_increas', 'profit_increas', 'group_increas']",[],3,positive,True
the combined company had pro forma net sales of 140 mln euro $ 188 9 mln and an operating profit of 13 mln euro $ 17 5 mln for 2006,neutral,[],[],"['sale', 'mln', 'net', 'profit', 'company']",[],[],[],0,neutral,True
the hayward calif based target designs active casual and dress footwear as well as boots and sandals,neutral,[],[],[],[],[],[],0,neutral,True
international sales rose by 59 8 to eur 1 244 4 mn,positive,[],[],"['eur', 'sale', 'mn']",['rose'],"['eur_rose', 'sale_rose', 'mn_rose']",[],3,positive,True
meanwhile alfa owns 25 1 of megafon through altimo and 4 99 of turkcell via an 18 5 stake in cukurova holding,neutral,[],[],[],[],[],[],0,neutral,True
the order includes 48 ship cranes that will be delivered for 12 container feeders to be built at wenchong shipyard in china,neutral,[],[],['order'],[],[],[],0,neutral,True
in the fourth quarter of 2006 oko banks expects the operating environment for banking and investment services to remain similar to that in january september 2006,neutral,[],[],"['september', 'quarter', 'investment']",[],[],[],0,neutral,True
finnish cutlery and hand tools maker fiskars oyj abp hel : fisas said today its net profit rose to eur 24 1 million usd 33 6 m in the third quarter of 2010 from eur 17 9 million a year earlier,positive,[],[],"['eur', 'quarter', 'net', 'profit', 'oyj', 'maker', 'year']",['rose'],"['eur_rose', 'profit_rose', 'year_rose', 'oyj_rose', 'net_rose', 'quarter_rose', 'maker_rose']",[],7,positive,True
theodosopoulos said tellabs could be of value to nokia siemens or nortel given its leading supply status with verizon along with high growth products,positive,['leading'],[],"['growth', 'product', 'value']",[],[],[],1,positive,True
talvivaara is listed on the london stock exchange main market and nasdaq omx helsinki and is included in the ftse 250 index,neutral,[],[],[],[],[],[],0,neutral,True
says brian burton head of it security vodafone uk,neutral,[],[],[],[],[],[],0,neutral,True
finnish metal products company componenta oyj net profit rose to 26 1 mln euro $ 35 9 mln for the first quarter of 2007 from 5 3 mln euro $ 7 3 mln for the same period of 2006,positive,[],[],"['metal', 'product', 'quarter', 'mln', 'period', 'net', 'profit', 'oyj', 'company']",['rose'],"['metal_rose', 'profit_rose', 'oyj_rose', 'net_rose', 'quarter_rose', 'mln_rose', 'period_rose', 'product_rose']",['company_rose'],7,positive,True
the result will also be burdened by increased fixed costs associated with operations in china and restructuring costs in japan,negative,[],"['restructuring', 'burdened']","['cost', 'result']",['increas'],[],"['cost_increas', 'result_increas']",-4,negative,True
f secure internet security 2010 is a security service for surfing the web online banking and shopping e mail and other online activities,neutral,[],[],[],[],[],[],0,neutral,True
furthermore sales of new passenger cars and light commercial vehicles in the country declined by 5 4 year on year last month,negative,[],['declined'],"['year', 'sale', 'month', 'passenger']",['declin'],[],"['year_declin', 'passenger_declin', 'month_declin', 'sale_declin']",-5,negative,True
the business section also includes ahlstrom s sustainability report,neutral,[],[],"['report', 'business']",[],[],[],0,neutral,True
it estimates the operating profit to further improve from the third quarter,positive,['improve'],[],"['quarter', 'profit']",[],[],[],1,positive,True
