headline,label
hk ruokatalo produces many turkey products such as cold cuts,neutral
with the u s federal government putting a stake in the ground vendors and their customers are focused on meeting the deadline,neutral
the order is related to renewing the network of the telecommunications operator,neutral
consolidated operating profit excluding one off items was eur 30 6 mn up from eur 29 6 mn a year earlier,positive
in the building and home improvement trade sales decreased by 22 5 to eur 201 4 mn,negative
the whitehall street real estate funds invest in real estate and real estate related assets principally through the acquisition of real estate companies real property and mortgage loans,neutral
turnover surged to eur61 8 m from eur47 6 m due to increasing service demand especially in the third quarter and the overall growth of its business,positive
the company did not distribute a dividend in 2005,neutral
before fki john jiang has worked in several general manager or senior business consultant positions for international companies in china,neutral
the firm s services include copying printing cad modelling digital printing scanning sokopro project bank and courier services,neutral
india s trade with russia currently stands at four billion dollars growing 9 6 per cent in fiscal 2007,positive
in q1 2010 18 may 2010 finnish electrical components maker salcomp oy hel : sal1v said today it turned to a net profit of eur1 6 m in the first quarter of 2010 versus a loss of eur2m in the corresponding period last year,positive
last year 8 3 million passengers flew the airline down 4 percent from 2007,negative
juha haapakoski will continue as editor in chief with budget responsibility also with the new publisher,neutral
finnish cutlery and hand tools maker fiskars oyj abp hel : fisas said today its net profit rose to eur 24 1 million usd 33 6 m in the third quarter of 2010 from eur 17 9 million a year earlier,positive
mobile communication and wireless broadband provider nokia inc nyse : nok today set new financial targets and forecasts for nokia and the mobile device industry and also for nokia siemens networks and the mobile and fixed infrastructure and related services market,neutral
however the net sales declined to eur 803 6 million from eur 1 2 billion,negative
ramirent finland is the domestic unit of machinery rental company ramirent oyj hel : rmr1v,neutral
however sales volumes in the food industry are expected to remain at relatively good levels in finland and in scandinavia atria said,positive
russian export duties will activate harvesting in finland and sales in russia will increase also,positive
the original name componenta +àm+ñl as a subsidiary of the finnish componenta group has been changed to +àm+ñl components and the company has seen a 63 growth in q1 2010 in comparison to q1 2009,positive
danske bank is denmark s largest bank with 3 5 million customers,neutral
clothing chain sepp+ñl+ñ s net sales increased by 7 0 to eur 30 8 mn,positive
the subject of the project is provide to the company like : software programming and consultancy services computer related services data services computer support and consultancy services internet services etc,neutral
for the first nine months of 2010 talvivaara s net loss narrowed to eur 8 3 million from eur 21 9 million for the same period of 2009,positive
the first phase of the logistics complex envisages the completion of some 70 000 sq m of logistics premises and the gatehouse building in november 2008,neutral
the new company diapol s r l would manufacture tools meant for glass and stone pre processing,neutral
the financial statements release will be available after publishing on the company s internet pages at www cargotec com,neutral
each year personal entertainment plays a more significant role in determining whether a fitness facility s workout experience is pleasurable or a chore said brian wilson director of marketing for precor s entertainment & services division,neutral
earnings per share eps in 2005 decreased to eur1 87 from eur1 89 in 2003,negative
negotiations with representatives of the personnel regarding the restructuring process have now been ended,neutral
sanoma learning & literature offering print and digital learning materials is present in eleven countries,neutral
vaisala s net profit for the third quarter of 2007 dropped to 3 0 mln euro $ 4 3 mln from 6 8 mln euro $ 9 8 mln for the same period of 2006,negative
finnish silicon wafers manufacturer okmetic oyj said it swung to a net profit of 4 9 mln euro $ 6 3 mln in the first nine months of 2006 from a net loss of 1 8 mln euro $ 2 3 mln a year earlier,positive
the web marela application handles invitations to quote quote comparisons agreements purchases invoice inspections inventory management and deliveries,neutral
ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year,positive
the acquisition price was not disclosed,neutral
for the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the trade register,neutral
the issue came up in connection with discussion with local municipalities concerning the sale of water to industrial facilities,neutral
the deal means that ten persons in three countries will transfer to tieto,neutral
adp news nov 13 2008 finnish printed circuit board pcb maker aspocomp group oyj omx : acg1v said today that its net loss narrowed to eur 2 million usd 2 5 m in the first nine months of 2008 from eur 57,positive
the platform would continue to be the development framework for symbian and meego,neutral
no financial details of the deployment were disclosed,neutral
the dividends payable annually shall be deducted from the share subscription price,neutral
the price of the 10 000 kroon par value bonds was 9663 51 kroons in the primary issue,neutral
in the second quarter of 2010 the company s net profit was eur1 7 m compared to a net loss of eur1 3 m in april june 2009,positive
we have come out with a decision which is based on our preliminary economic operational and environmental findings karvinen said,neutral
no planned closing date was provided,neutral
in q2 of 2009 profit before taxes amounted to eur 13 6 mn down from eur 26 8 mn in q2 of 2008,negative
however biohit estimates its total net sales will continue to grow in 2009 and that favourable trends in net sales will lead to a profit in 2009,positive
we know there are some of our own people out there,neutral
finnish sampo rosenlew manufactures approximately seven forest machines monthly and about half of machines are exported,neutral
commission income decreased to eur 3 8 mn compared to eur 4 6 mn in the third quarter of 2007,negative
these measures are expected to produce annual cost savings of eur 1 5 million starting in 2007,positive
the new factory working model and reorganisations would decrease nokian tyres costs in the factory by eur 30 million usd 38 7 m,positive
boomerang boats had net sales of eur 4 1 mn and it made an operating profit of eur 0 4 mn in 2006,neutral
the phones are targeted at first time users in growth markets,neutral
cash flow from operations rose to eur 52 7 mn from eur 15 6 mn in 2007,positive
that address also happens to house italian megamart eataly meaning that come on kids we re going to the toy building,neutral
the estimated annual value of the frame agreement is about eur 50mn,neutral
the expanded plant is scheduled to be operational by the middle of october 2009,neutral
the final outcome of the rights offering is to be reported around 23 october 2009,neutral
the first stage of the contract covers 133 stores and 600 cash registers,neutral
cash flow from business operations totalled eur 0 4 mn compared to a negative eur 15 5 mn in the first half of 2008,positive
the situation of coated magazine printing paper will continue to be weak,negative
operating result for the 12 month period decreased from the profit of eur0 4 m while turnover decreased from eur5 6 m as compared to 2004,negative
finnish it solutions provider affecto oyj hel : afe1v said today its slipped to a net loss of eur 115 000 usd 152 000 in the second quarter of 2010 from a profit of eur 845 000 in the corresponding period a year earlier,negative
igor and oleg yankov who currently manage moron and vitim will hold onto the 25 stake for now,neutral
the company expects meat purchases to remain at about 8mn kilos in 2011,neutral
yit corporation sept 24 2007 at 13:30 corporate release stock exchange release yit s capital markets day in london sept 26 2007 on wednesday september 26 2007 yit will hold a capital markets day for investors and analysts in london,neutral
operating profit for the nine month period increased from eur13 6 m while net sales increased from eur394 7 m as compared to the corresponding period in 2005,positive
the order was worth eur 8mn,neutral
finnish drug distributor and wholesaler oriola kd oyj said on october 11 2006 it named anne kariniemi vice president of its logistics and sourcing department as of january 15 2007,neutral
the front surfaces of these valve plates are directed towards each other,neutral
scopi chief business excellence officer eng,neutral
sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006 07,negative
vaisala headquartered in helsinki in finland develops and manufactures electronic measurement systems for meteorology environmental sciences traffic and industry,neutral
the manufacture of cpps will be undertaken at the existing export oriented unit eou at wartsila s factory at khopoli near mumbai,neutral
with this acquisition the wireless modem unit and its approximately 1 100 employees were transferred to renesas electronics corporation,neutral
the energy sector accounted for approximately 33 and the steel industry for about 57 of the transportation volume,neutral
finnish aktia group s operating profit rose to eur 17 5 mn in the first quarter of 2010 from eur 8 2 mn in the first quarter of 2009,positive
no service pricing details were disclosed,neutral
the company said that the results of the third quarter do not include non recurring items,neutral
in addition cramo and peab have signed exclusive five year rental agreements in finland and have extended their existing rental agreements in the swedish market for another five years,positive
metsaliitto however narrowed its net loss for the second quarter of 2007 to 5 0 mln euro $ 6 9 mln from 61 mln euro $ 83 7 mln a year ago,positive
almost two thirds of olvi s net sales come from outside finland,neutral
the share capital of basware corporation is 11 720 829,neutral
the final price will be specified by 14 may 2010 the acquiring company said,neutral
following the issue the new shares will constitute 10 percent of the firm s capital,neutral
the copying republication or redistribution of afx news content including by framing or similar means is expressly prohibited without the prior written consent of afx news,neutral
25 november 2010 finnish paints and coatings company tikkurila oyj hel : tik1v said today that finnish state owned investment company solidium oy sold its 14 7 stake in the company for a total of eur98m,neutral
according to gran the company has no plans to move all production to russia although that is where the company is growing,neutral
shares will be acquired in accordance with section 5 of the rules of nasdaq omx helsinki and other rules applicable to the acquisition of own shares,neutral
the company also equipped the sculptural complex rabochy i kolkhoznitsa a worker and a collective farmer in moscow with snow melting system,neutral
finnish textiles and clothing group marimekko oyj posted a net profit of 7 99 mln euro $ 10 4 mln for 2006 compared to 8 4 mln euro $ 10 9 mln for 2005,negative
in 2008 avc systemhaus had net sales of eur 10 million usd 7 1 m,neutral
the group also has a strong global position in other fishing categories,positive
honkarakenne also decided yesterday to sell 88 500 of its b series shares to key staff members for eur2 9 per share,neutral
both operating profit and net sales for the six month period increased respectively from eur18 1 m and eur127 6 m as compared to the corresponding period in 2006,positive
finnish rautaruukki has been awarded a contract to supply and install steel superstructures for the partihallsf+ârbindelsen bridge in gothenburg in sweden,positive
adpnews feb 3 2010 finland based steel maker rautaruukki oyj hel : rtrks or ruukki said today it slipped to a larger than expected pretax loss of eur 46 million usd 64 5 m in the fourth quarter of 2009 from a,negative
however sales returned to growth in april june 2010 ceo pekka eloholma said,positive
the sale of savcor face to cencorp will result in a profit or loss which can not yet be determined owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates,neutral
a spokesperson told wwd to expect a 50 50 mix of clothing and home decor,neutral
founded in 1946 strand associates which provides civil environmental transportation electrical and mechanical engineering services has 350 employees at 10 offices in wisconsin alabama illinois indiana kentucky and ohio,neutral
sales in finland decreased by 2 0 and international sales decreased by 9 3 in terms of euros and by 15 1 in terms of local currencies,negative
union and company officials did not return calls yesterday,neutral
the interim report for the first quarter is published on may 8 2009,neutral
rautalinko was resposnible also for mobility services and his job in this division will be continued by marek hintze,neutral
finnish shipping company finnlines pretax loss totalled eur 6 5 mn in the third quarter of 2009 compared to a profit of eur 0 3 mn in the third quarter of 2008,negative
nordea s definitely too big for sampo to acquire said an analyst but sampo would appear to have an agenda for nordea ahead of the privatisation,neutral
finnish steel maker rautaruukki oyj hel : rtrks or ruukki said today its net loss contracted to eur 49 million usd 68 2 m for the first nine months of 2010 from eur 229 million for the same period a year ago,positive
operating profit rose to eur 3 11 mn from eur 1 22 mn in the corresponding period in 2009,positive
in the reporting period net sales rose by 8 year on year to eur64 3 m due to the business acquisitions realized during the first half of 2008 09 the effect of which was eur10 9 m in the review period,positive
samsung currently occupies third place and lost ground during the quarter dropping by 1 8 to an 11 1 share overall,negative
depending on the market situation such projects are sold after 1 to 3 years after completion,neutral
the company expects net sales to significantly increase from 2009,positive
neste oil will publish its third quarter 2008 results on friday 24 october 2008 at approximately 9 am eet,neutral
the following information was released by comptel : tomorrow the chairman of the federal communications commission is scheduled to deliver the national broadband plan to congress,neutral
olli pekka laine has been appointed as the chairman and erkki pehu lehtonen as the vice chairman of the board,neutral
below are consolidated unaudited results for amanda capital under ifrs reporting standards,neutral
the plan is estimated to generate some eur 5 million usd 6 5 m in cost savings on an annual basis,positive
olvi which controls a 94 percent stake in ragutis through a le coq said in its annual report published earlier this year that the lithuanian brewery s sales reached 15 04 million euros last year a rise of 20 4 percent from 12 49 million euros in 2004,positive
finnish kemira group s ceo lasse kurkilahti says the group s structural reorganisation will continue for at least a year,neutral
financial details were n t disclosed,neutral
the financial impact is estimated to be some 1 5 meur annual improvement in the division s result starting from fiscal year 2007,positive
ebitda for the year 2009 improved to eur484m as compared with eur472m in 2008,positive
in the third quarter of 2007 net sales totaled eur 25 95 mn and operating profit eur 3 88 mn,neutral
kesko has about 2 000 stores engaged in chain operations in the nordic and baltic countries russia and belarus,neutral
the company s share is quoted on nasdaq omx helsinki rautaruukki oyj : rtrks,neutral
companies evaluated in the report include aladdin ca f secure kaspersky marshal mcafee microsoft panda proofpoint sophos symantec trend micro tumbleweed and websense,neutral
and that s exactly what happened on a recent weekday when an east haven baker was brought in to remind residents about the easter tradition of making wheat and rice pies,neutral
earlier today geberit s finnish rival uponor oyj cut its full year sales growth forecast to 6 pct from 10 pct blaming tough conditions in germany and the us as well as currency factors,negative
external net sales from the printing business fell by 43 7 partly due to the termination of the printing contract between ilkka yhtyma s printing house i print oy and sector player hss media ab in december 2009 and the fall in printing prices,negative
the transaction is planned to be financed with a eur40m market based loan granted by standard chartered bank hong kong,neutral
the market value of one crane is some usd6m reported the finnish news agency stt,neutral
both operating profit and net sales for the 12 month period increased respectively from eur21 5 m and eur196 1 m as compared to 2005,positive
production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board,positive
london marketwatch nokia nok said it s won a five year services contract to run hutchison essar s network operations in nine locations in india,positive
storengy is the gdf suez company that is dedicated to the underground storage of natural gas,neutral
operating loss totalled eur 5 2 mn compared to a loss of eur 3 4 mn in the corresponding period in 2008 2009,negative
